pert_iname,clinical_phase,moa,target,disease_area,indication,matching_in_cellminercdb,kw_matching,
azithromycin,Launched,bacterial 50S ribosomal subunit inhibitor,MLNR,infectious disease,pelvic inflammatory disease|pneumonia,TRUE,,
pazopanib,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3,oncology,renal cell carcinoma (RCC)|soft tissue sarcoma (STS),TRUE,,
idronoxil,Phase 3,XIAP inhibitor,ENOX2|SPHK1,,,TRUE,,
SCH-900776,Phase 2,CHK inhibitor,CDK2|CHEK1,,,TRUE,,
alisertib,Phase 3,Aurora kinase inhibitor,AURKA,,,TRUE,,
KPT-276,Preclinical,exportin antagonist,XPO1,,,TRUE,,
tioguanine,Launched,purine antagonist,,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML),TRUE,,
pitavastatin,Launched,HMGCR inhibitor,HMGCR,endocrinology,hyperlipidemia,TRUE,,
resiquimod,Phase 3,toll-like receptor agonist,TLR7|TLR8,,,TRUE,,
BMS-690514,Phase 2,EGFR inhibitor|VEGFR inhibitor,EGFR|ERBB2|FLT3|KDR,,,TRUE,,
CCT128930,Preclinical,AKT inhibitor,,,,TRUE,,
idoxuridine,Launched,DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor,,infectious disease,virus herpes simplex (HSV),TRUE,,
homoharringtonine,Launched,protein synthesis inhibitor,RPL3,hematologic malignancy,chronic myeloid leukemia (CML),TRUE,,
YM-155,Phase 2,survivin inhibitor,BIRC5,,,TRUE,,
WYE-354,Preclinical,mTOR inhibitor,MTOR,,,TRUE,,
triamcinolone,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses,TRUE,,
vandetanib,Launched,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|VEGFA,oncology,medullary thyroid cancer (MTC),TRUE,,
CUDC-907,Phase 2,PI3K inhibitor,HDAC2|PIK3R1,,,TRUE,,
entinostat,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC9,,,TRUE,,
mebendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,pinworm|whipworm|hookworm|ascariasis,TRUE,,
LY2090314,Phase 2,glycogen synthase kinase inhibitor,GSK3B,,,TRUE,,
GW-788388,Preclinical,ALK tyrosine kinase receptor inhibitor,LCK|MAPK14|TGFBR1,,,TRUE,,
menadione,Launched,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,gastroenterology|neurology/psychiatry|dermatology|rheumatology,ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis,TRUE,,
A-674563,Preclinical,AKT inhibitor,AKT1|PKIA|PRKACA,,,TRUE,,
crizotinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET,oncology,non-small cell lung cancer (NSCLC),TRUE,,
ixazomib,Launched,proteasome inhibitor,,hematologic malignancy,multiple myeloma,TRUE,,
pentagastrin,Launched,CCK receptor agonist,CCKBR,gastroenterology,anacidity diagnostic|gastric hypersecretion diagnostic,TRUE,,
oxaliplatin,Launched,DNA inhibitor,,oncology,colorectal cancer,TRUE,,
albendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis,TRUE,,
nimorazole,Launched,bacterial DNA inhibitor,,oncology,head and neck squamous cell carcinoma (HNSCC),TRUE,,
PF-573228,Preclinical,focal adhesion kinase inhibitor,CDK1|CDK2|CDK7|GSK3B|IKBKB,,,TRUE,,
decitabine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML),TRUE,,
NVP-BHG712,Preclinical,ephrin inhibitor,EPHB4,,,TRUE,,
CGM097,Phase 1,MDM inhibitor,MDM2,,,TRUE,,
uracil,Launched,,DPYD|UCKL1,,,TRUE,,
TAK-285,Phase 1,EGFR inhibitor,ERBB2,,,TRUE,,
triciribine,Phase 1/Phase 2,AKT inhibitor,AKT1|AKT2|AKT3,,,TRUE,,
repsox,Preclinical,TGF beta receptor inhibitor,TGFBR1,,,TRUE,,
erteberel,Phase 2,estrogen receptor agonist,ESR1|ESR2,,,TRUE,,
SGI-1776,Phase 1,Pim kinase inhibitor,FLT3|PIM1|PIM2|PIM3,,,TRUE,,
tideglusib,Phase 2,glycogen synthase kinase inhibitor,GSK3B,,,TRUE,,
vorinostat,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9,hematologic malignancy,cutaneous T-cell lymphoma (CTCL),TRUE,,
CX-4945,Phase 1/Phase 2,casein kinase inhibitor,CSNK2A1|CSNK2A2|DAPK3|HIPK3,,,TRUE,,
tanespimycin,Phase 3,HSP inhibitor,HSP90AA1,,,TRUE,,
nilotinib,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT,hematologic malignancy,chronic myeloid leukemia (CML),TRUE,,
PP-121,Preclinical,protein tyrosine kinase inhibitor,ABL1|EGFR|HCK|KDR|MTOR|PDGFRA|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC|SRC,,,TRUE,,
estrone,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2,endocrinology,menopause,TRUE,,
SB-239063,Preclinical,p38 MAPK inhibitor,MAPK11|MAPK14|PTGS2,,,TRUE,,
elesclomol,Phase 3,oxidative stress inducer,HSPA1A,,,TRUE,,
binimetinib,Launched,MEK inhibitor,MAP2K1|MAP2K2,oncology,melanoma,TRUE,,
navitoclax,Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2,,,TRUE,,
batimastat,Phase 3,matrix metalloprotease inhibitor,ADAM28|ADAMTS5|MMP12|MMP16|MMP2|MMP8,,,TRUE,,
repaglinide,Launched,insulin secretagogue,ABCC8|KCNJ11|PPARG,endocrinology,diabetes mellitus,TRUE,,
daclatasvir,Launched,HCV inhibitor,,infectious disease,hepatitis C,TRUE,,
ACY-1215,Phase 1/Phase 2,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,,,TRUE,,
doxercalciferol,Launched,vitamin D receptor agonist,VDR,nephrology|endocrinology,chronic kidney disease (CKD)|hyperparathyroidism,TRUE,,
LY3023414,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR,,,TRUE,,
litronesib,Phase 2,kinesin-like spindle protein inhibitor,KIF11,,,TRUE,,
chloropyramine,Launched,histamine receptor antagonist,HRH1,cardiology|ophthalmology|allergy|pulmonary,edema|conjunctivitis|allergic rhinitis|asthma,TRUE,,
NMS-1286937,Phase 2,PLK inhibitor,FLT3|PLK1|PLK2|PLK3,,,TRUE,,
JNJ-26481585,Phase 2,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|MDM2,,,TRUE,,
MLN8054,Phase 1,Aurora kinase inhibitor,AURKA,,,TRUE,,
alvespimycin,Phase 2,HSP inhibitor,HSP90AA1,,,TRUE,,
nelarabine,Launched,DNA synthesis inhibitor|T cell inhibitor,POLA1,hematologic malignancy,acute lymphoblastic leukemia (ALL),TRUE,,
telatinib,Phase 2,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,,,TRUE,,
riociguat,Launched,guanylate cyclase stimulant,GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3,cardiology,hypertension,TRUE,,
erdafitinib,Launched,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4,,,TRUE,,
sirolimus,Launched,mTOR inhibitor,FKBP1A|MTOR,transplant|pulmonary,organ rejection|lymphangioleiomyomatosis,TRUE,,
AZD2461,Phase 1,PARP inhibitor,,,,TRUE,,
novobiocin,Launched,bacterial DNA gyrase inhibitor,,obstetrics/gynecology,mastitis,TRUE,,
dovitinib,Phase 3,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB,,,TRUE,,
ivermectin,Launched,benzodiazepine receptor agonist,CHRNA7|P2RX7,infectious disease,gastrointestinal roundworms|lungworms|cattle grubs|mites|lice|horn flies,TRUE,,
neratinib,Launched,EGFR inhibitor,EGFR|ERBB2|KDR,oncology,breast cancer,TRUE,,
refametinib,Phase 2,MEK inhibitor,MAP2K1|MAP2K2,,,TRUE,,
AZD2858,Preclinical,glycogen synthase kinase inhibitor,GSK3B,,,TRUE,,
WAY-600,Preclinical,mTOR inhibitor,MTOR,,,TRUE,,
flubendazole,Launched,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites,TRUE,,
linsitinib,Phase 3,IGF-1 inhibitor,IGF1R|INSR|INSRR,,,TRUE,,
AZD7762,Phase 1,CHK inhibitor,CHEK1|CHEK2,,,TRUE,,
embelin,Preclinical,HCV inhibitor|XIAP inhibitor,XIAP,,,TRUE,,
SB-939,Phase 3,HDAC inhibitor,HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC9,,,TRUE,,
PF-04457845,Phase 2,FAAH inhibitor,FAAH,,,TRUE,,
dofetilide,Withdrawn,potassium channel blocker,KCNH1|KCNH2|KCNJ12|KCNK2,,,TRUE,,
cediranib,Phase 3,KIT inhibitor|VEGFR inhibitor,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,,,TRUE,,
oltipraz,Phase 3,nuclear factor erythroid derived|like (NRF2) activator,ANG,,,TRUE,,
phenelzine,Launched,monoamine oxidase inhibitor,ABAT|AOC3|GAD2|GPT|GPT2|MAOA|MAOB|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression,TRUE,,
PP242,Preclinical,mTOR inhibitor,MTOR|PASK,,,TRUE,,
OSI-027,Phase 1,mTOR inhibitor,MTOR,,,TRUE,,
norepinephrine,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|SLC18A1|SLC18A2,cardiology|allergy|neurology/psychiatry,hypertension|urticaria|headache|seasonal affective disorder,TRUE,,
cyt387,Phase 3,JAK inhibitor,JAK1|JAK2|JAK3,,,TRUE,,
istradefylline,Launched,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,neurology/psychiatry,Parkinson's Disease|dyskinesia,TRUE,,
AVL-292,Phase 2,Bruton's tyrosine kinase (BTK) inhibitor,BTK|YES1,,,TRUE,,
melphalan,Launched,DNA alkylating agent|DNA inhibitor,,hematologic malignancy,multiple myeloma,TRUE,,
alvocidib,Phase 2,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM,,,TRUE,,
naltrexone,Launched,opioid receptor antagonist,OPRD1|OPRK1|OPRM1|SIGMAR1,neurology/psychiatry,abstinence from alcohol,TRUE,,
pyrimethamine,Launched,dihydrofolate reductase inhibitor,DHFR|SLC47A1,infectious disease,malaria,TRUE,,
bortezomib,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL),TRUE,,
PD-198306,Preclinical,MAP kinase inhibitor|MEK inhibitor,MAP2K1|MAP2K2,,,TRUE,,
letrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer,TRUE,,
elacridar,Phase 1,P glycoprotein inhibitor,ABCB1,,,TRUE,,
AS-703026,Phase 2,MEK inhibitor,MAP2K1|MAP2K2,,,TRUE,,
GSK923295,Phase 1,centromere associated protein inhibitor,CENPE,,,TRUE,,
fenretinide,Phase 3,apoptosis stimulant|retinoid receptor agonist,RARA,,,TRUE,,
tandutinib,Phase 2,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,CSF1R|FLT3|KIT|PDGFD|PDGFRB,,,TRUE,,
raltitrexed,Launched,thymidylate synthase inhibitor,FPGS|TYMS,oncology,mesothelioma,TRUE,,
GW-843682X,Preclinical,PLK inhibitor,PLK1|PLK3,,,TRUE,,
AR-12,Phase 1,phosphoinositide dependent kinase inhibitor,PDPK1,,,TRUE,,
carboplatin,Launched,DNA alkylating agent|DNA inhibitor,,oncology,ovarian cancer,TRUE,,
indiplon,Phase 3,benzodiazepine receptor agonist,GABRA1,,,TRUE,,
pentostatin,Launched,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,ADA,hematologic malignancy,hairy cell leukemia,TRUE,,
mercaptopurine,Launched,immunosuppressant|protein synthesis inhibitor|purine antagonist,HPRT1|IMPDH1|IMPDH2|PPAT,hematologic malignancy,acute lymphoblastic leukemia (ALL),TRUE,,
ABT-751,Phase 2,tubulin polymerization inhibitor,TUBB,,,TRUE,,
doxorubicin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy|oncology,acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma,TRUE,,
tosedostat,Phase 2,peptidase inhibitor,ANPEP|LAP3|NPEPPS,,,TRUE,,
GSK461364,Phase 1,PLK inhibitor,PLK1,,,TRUE,,
bexarotene,Launched,retinoid receptor agonist,RXRA|RXRB|RXRG,hematologic malignancy,cutaneous T-cell lymphoma (CTCL),TRUE,,
tirapazamine,Phase 3,DNA inhibitor,,,,TRUE,,
PAC-1,Phase 1,caspase activator,CASP3,,,TRUE,,
cladribine,Launched,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B,hematologic malignancy,hairy cell leukemia,TRUE,,
RAF265,Phase 2,RAF inhibitor|VEGFR inhibitor,BRAF,,,TRUE,,
hydrocortisone,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR3C1|NR3C2,dermatology|neurology/psychiatry,eczema|psoriasis|seborrheic dermatitis|itching,TRUE,,
tamoxifen,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ,oncology,breast cancer,TRUE,,
taltirelin,Launched,thyrotropin releasing hormone receptor agonist,TRHR,neurology/psychiatry,spinocerebellar ataxia,TRUE,,
quizartinib,Phase 3,FLT3 inhibitor,CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET,,,TRUE,,
TWS-119,Preclinical,glycogen synthase kinase inhibitor,GSK3B|JUN|MYC,,,TRUE,,
mevastatin,Preclinical,HMGCR inhibitor,HMGCR,,,TRUE,,
ICG-001,Preclinical,beta-catenin inhibitor,CTNNB1,,,TRUE,,
LDN-57444,Preclinical,ubiquitin C-terminal hydrolase inhibitor,,,,TRUE,,
talazoparib,Launched,PARP inhibitor,PARP2,oncology,breast cancer,TRUE,,
PHA-665752,Preclinical,c-Met inhibitor,MET,,,TRUE,,
SRT1720,Preclinical,SIRT activator,SIRT1,,,TRUE,,
deflazacort,Launched,glucocorticoid receptor agonist,NR3C1,rheumatology,joint inflammation,TRUE,,
azalomycin-B,Preclinical,bacterial 50S ribosomal subunit inhibitor,,,,TRUE,,
brequinar,Phase 2,dihydroorotate dehydrogenase inhibitor,DHODH,,,TRUE,,
cidofovir,Launched,DNA polymerase inhibitor,,infectious disease,acquired immunodeficiency syndrome (AIDS)|cytomegalovirus retinitis,TRUE,,
Y-320,Preclinical,interleukin inhibitor,IL17A,,,TRUE,,
10-deacetylbaccatin,Preclinical,antitumor agent,,,,TRUE,,
deferasirox,Launched,chelating agent,CYP3A4,hematology,transfusional hemosiderosis|thalassemia|iron overload,TRUE,,
nicorandil,Launched,nitric oxide donor|potassium channel activator,KCNJ11,cardiology,angina pectoris,TRUE,,
GSK-J4,Preclinical,histone lysine demethylase inhibitor,KDM6A|KDM6B,,,TRUE,,
parthenolide,Phase 1,NFkB pathway inhibitor,,,,TRUE,,
AZD5363,Phase 3,AKT inhibitor,AKT1|AKT2|AKT3,,,TRUE,,
felbamate,Launched,glutamate receptor antagonist,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B,neurology/psychiatry,epilepsy,TRUE,,
AZD2014,Phase 2,mTOR inhibitor,MTOR,,,TRUE,,
NSC-319726,Preclinical,p53 activator,,,,TRUE,,
ftorafur,Launched,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer,TRUE,,
genz-644282,Phase 1,topoisomerase inhibitor,TOP1,,,TRUE,,
plinabulin,Phase 3,tubulin polymerization inhibitor,,,,TRUE,,
PF-562271,Phase 1,focal adhesion kinase inhibitor,PTK2|PTK2B,,,TRUE,,
motesanib,Phase 3,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FLT1|FLT4|KDR|KIT,,,TRUE,,
linifanib,Phase 3,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|TEK,,,TRUE,,
lorlatinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK,oncology,non-small cell lung cancer (NSCLC),TRUE,,
bosutinib,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK,hematologic malignancy,chronic myeloid leukemia (CML),TRUE,,
barasertib,Phase 2/Phase 3,Aurora kinase inhibitor,AURKA|AURKB,,,TRUE,,
brigatinib,Launched,ALK tyrosine kinase receptor inhibitor|EGFR inhibitor,ALK|EGFR,oncology,non-small cell lung cancer (NSCLC),TRUE,,
camptothecin,Phase 3,topoisomerase inhibitor,TOP1,,,TRUE,,
poziotinib,Phase 2,EGFR inhibitor,EGFR|ERBB2|ERBB4,,,TRUE,,
U-0126,Preclinical,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAP2K2|MAP2K7|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,,,TRUE,,
